Tag URL,line1,line2
https://www.rekhta.org/tags/aab-shayari/couplets,aaj ik aur baras biit gayā us ke baġhair,jis ke hote hue hote the zamāne mere
https://www.rekhta.org/tags/aab-shayari/couplets,mil bhī jaatā jo kahīñ āb-e-baqā kyā karte,zindagī ḳhud bhī thī jiine kī sazā kyā karte
https://www.rekhta.org/tags/aab-shayari/couplets,mil bhi jata jo kahin aab-e-baqa kya karte,zindagi KHud bhi thi jine ki saza kya karte
https://www.rekhta.org/tags/aab-shayari/couplets,dosto DhūñD ke ham sā koī pyāsā laao,ham to aañsū bhī jo piite haiñ to paanī kī tarah
https://www.rekhta.org/tags/aab-shayari/couplets,dosto DhunD ke hum sa koi pyasa lao,hum to aansu bhi jo pite hain to pani ki tarah
https://www.rekhta.org/tags/aab-shayari/couplets,aaj lab-e-guhar-fishāñ aap ne vā nahīñ kiyā,tazkira-e-ḳhajista-e-āb-o-havā nahīñ kiyā
https://www.rekhta.org/tags/aab-shayari/couplets,aaj lab-e-guhar-fishan aap ne wa nahin kiya,tazkira-e-KHajista-e-ab-o-hawa nahin kiya
https://www.rekhta.org/tags/aab-shayari/couplets,ḳhaak huuñ uḌtā huuñ sach hai ki maiñ āvāra-mizāj,paanī hotā bhī to sailāb meñ dekhā jaatā
https://www.rekhta.org/tags/aab-shayari/couplets,KHak hun uDta hun sach hai ki main aawara-mizaj,pani hota bhi to sailab mein dekha jata
https://www.rekhta.org/tags/aab-shayari/couplets,ajab karishma dikhāyā ba-yak qalam us ne,havā chalā.ī samundar ko naqsh-e-āb diyā
https://www.rekhta.org/tags/aab-shayari/couplets,ajab karishma dikhaya ba-yak qalam us ne,hawa chalai samundar ko naqsh-e-ab diya
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,aaj ik aur baras biit gayā us ke baġhair,jis ke hote hue hote the zamāne mere
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,maiñ ronā chāhtā huuñ ḳhuub ronā chāhtā huuñ maiñ,phir us ke baad gahrī niind sonā chāhtā huuñ maiñ
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,main rona chahta hun KHub rona chahta hun main,phir us ke baad gahri nind sona chahta hun main
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,ai dost tujh ko rahm na aa.e to kyā karūñ,dushman bhī mere haal pe ab āb-dīda hai
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,ai dost tujh ko rahm na aae to kya karun,dushman bhi mere haal pe ab aab-dida hai
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,vaqt-e-ruḳhsat āb-dīda aap kyuuñ haiñ,jism se to jaañ hamārī jā rahī hai
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,waqt-e-ruKHsat aab-dida aap kyun hain,jism se to jaan hamari ja rahi hai
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,udāsī khīñch laa.ī hai yahāñ tak,maiñ aañsū thā samundar meñ paḌā huuñ
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,udasi khinch lai hai yahan tak,main aansu tha samundar mein paDa hun
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,tūfāñ uThā rahā hai mire dil meñ sail-e-ashk,vo din ḳhudā na laa.e jo maiñ āb-dīda huuñ
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,tufan uTha raha hai mere dil mein sail-e-ashk,wo din KHuda na lae jo main aab-dida hun
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,jhilmilāte rahe vo ḳhvāb jo puure na hue,dard bedār Tapaktā rahā aañsū aañsū
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,jhilmilate rahe wo KHwab jo pure na hue,dard bedar Tapakta raha aansu aansu
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,vahāñ ab ḳhvāb-gāheñ ban ga.ī haiñ,uThe the āb-dīda ham jahāñ se
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,wahan ab KHwab-gahen ban gai hain,uThe the aab-dida hum jahan se
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,kyuuñ khilaune TūTne par āb-dīda ho ga.e,ab tumheñ ham kyā batā.eñ kyā pareshānī huī
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,kyun khilaune TuTne par aab-dida ho gae,ab tumhein hum kya bataen kya pareshani hui
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,aisī kyā biit ga.ī mujh pe ki jis ke baa.is,āb-dīda haiñ mire hañsne hañsāne vaale
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,aisi kya bit gai mujh pe ki jis ke bais,aab-dida hain mere hansne hansane wale
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,ham terī tabī.at ko 'ḳhurshīd' nahīñ samjhe,patthar nazar aatā thā royā to bahut royā
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,hum teri tabiat ko 'KHurshid' nahin samjhe,patthar nazar aata tha roya to bahut roya
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,un kī yaad meñ bahte aañsū ḳhushk agar ho jā.eñge,saat samundar apnī ḳhālī ā.ankhoñ meñ bhar lā.ūñgā
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,un ki yaad mein bahte aansu KHushk agar ho jaenge,sat samundar apni KHali aaankhon mein bhar launga
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,vaañ sajda-e-niyāz kī miTTī ḳharāb hai,jab tak ki āb-e-dīda se taaza vazū na ho
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,wan sajda-e-niyaz ki miTTi KHarab hai,jab tak ki aab-e-dida se taza wazu na ho
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,āb-dīda huuñ maiñ ḳhud zaḳhm-e-jigar se apne,terī āñkhoñ meñ chhupā dard kahāñ se dekhūñ
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,aab-dida hun main KHud zaKHm-e-jigar se apne,teri aankhon mein chhupa dard kahan se dekhun
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,kapḌe gale ke mere na hoñ āb-dīda kyuuñ,mānind-e-abr dīda-e-tar ab to chhā gayā
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,kapDe gale ke mere na hon aab-dida kyun,manind-e-abr dida-e-tar ab to chha gaya
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,ye āb-dīda Thahar jaa.e jhiil kī sūrat,ki ek chāñd kā TukḌā nahānā chāhtā hai
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,ye aab-dida Thahar jae jhil ki surat,ki ek chand ka TukDa nahana chahta hai
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,tūfān-e-jahl ne mirā jauhar miTā diyā,maiñ ik kitāb ḳhuub huuñ par āb-dīda huuñ
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,tufan-e-jahl ne mera jauhar miTa diya,main ek kitab KHub hun par aab-dida hun
https://www.rekhta.org/tags/aab-deedah-shayari/couplets,ham ishq tere haath se kyā kyā na dekhīñ hālateñ,dekh āb-dīda ḳhuuñ na ho ḳhūn-e-jigar paanī na kar
